dlga_start:close_window|Warning: This line is never displayed. It is just for storing conversation variables.
dlga_ramun_sell_prisoners:ramun_sell_prisoners_2|Lasst mich mal sehen ...
dlga_ramun_sell_prisoners_2:close_window|War eine Freude, mit Euch Geschäfte zu machen.
dlga_ramun_talk:ramun_ask_about_capturing|Wie nehme ich jemanden als Gefangenen?
dlga_ramun_talk:ramun_ask_about_capturing.1|Könnt Ihr mir noch einmal über das Festsetzen von Gefangenen erzählen?
dlga_ramun_ask_about_capturing:ramun_have_blunt_weapon|Ihr seid noch etwas grün hinter den Ohren, nicht wahr? Ich werde mich besser in einfache Worte fassen: Zuallererst müsst Ihr Euren zukünftigen Gefangenen mit einer stumpfen Waffe niederstrecken, zum Beispiel einem Streitkolben oder einem Knüppel. Mit Schwertern gibt sowas eher eine ziemliche Sauerei. Also ganz einfach: Stumpfe Waffen führen zu Nickerchen, scharfe Waffen zu Blutbädern. Ihr führt doch sicherlich eine stumpfe Waffe mit Euch ...?
dlga_ramun_have_blunt_weapon:ramun_have_blunt_weapon_yes|Selbstverständlich.
dlga_ramun_have_blunt_weapon:ramun_have_blunt_weapon_no|Momentan leider nicht.
dlga_ramun_have_blunt_weapon_yes:ramun_ask_about_capturing_2|Gut. Jetzt müsst Ihr den Mistkerl nur noch mit Eurer Waffe niederstrecken und ihn nach Ende der Kampfhandlungen in Eisen schlagen. Bei Adligen und so weiter verhält es sich etwas anders, da sie meistens besseren Körperpanzer tragen: Ihnen könnt Ihr mit jeder Art von Waffe zu Leibe rücken, doch das übliche Gesindel wird wie eine angestochene Sau bluten, wenn Ihr euch mit einer scharfen Waffe an ihm versucht. Ich stelle an angelieferte Ware keine besonderen Bedingungen, aber atmen sollten sie schon noch, wenn ich sie kaufe.
dlga_ramun_have_blunt_weapon_no:ramun_have_blunt_weapon_no_2|Nein? Ha, das muss Euer Glückstag sein: Ich habe hier noch einen alten Knüppel, den ich wegwerfen wollte. Er ist ein bisschen abgenutzt, aber er reicht aus, um jemand besinnungslos zu schlagen. Hier, für Euch.
dlga_ramun_have_blunt_weapon_no_2:ramun_have_blunt_weapon_yes|Danke, Ramun. Vielleicht sollte ich es einmal damit versuchen.
dlga_ramun_ask_about_capturing:ramun_ask_about_capturing_2|Also, Ihr seid noch etwas grün hinter den Ohren, nicht wahr? Ich werde mich besser in einfache Worte fassen: Zuallererst müsst Ihr Euren zukünftigen Gefangenen mit einer stumpfen Waffe niederstrecken, zum Beispiel einem Streitkolben oder einem Knüppel. Mit Schwertern gibt sowas eher eine ziemliche Sauerei. Bei Adligen und so weiter verhält es sich etwas anders, da sie meistens besseren Körperpanzer tragen: Ihnen könnt Ihr mit jeder Art Waffe zu Leibe rücken, doch das übliche Gesindel wird wie eine angestochene Sau bluten, wenn Ihr euch mit einer scharfen Waffe an ihm versucht.
dlga_ramun_ask_about_capturing_2:ramun_ask_about_capturing_3|Wohlan, ich denke, ich habe es verstanden. Sonst noch was?
dlga_ramun_ask_about_capturing_3:ramun_ask_about_capturing_4|Nun ja, ganz so einfach ist es dann doch nicht: Da stumpfe Waffen nicht so große Wirkung wie scharfe haben, werdet Ihr Eure Gegner damit nicht so schnell besiegen. Und glaubt mir – der Abschaum, der dort draußen lauert, wird Euch bei der erstbesten Gelegenheit umbringen, wenn Ihr anstatt eines Schwertes einen Knüppel zieht. Außerdem werden Gefangene Euren Trupp verlangsamen, weshalb manche Leute ihre Gefangenen nach dem Kampf wieder freilassen! Das ist blanker Wahnsinn! Wie kann man denn das ganze Silber einfach so weglaufen lassen?
dlga_ramun_ask_about_capturing_4:ramun_ask_about_capturing_5|Ist das alles?
dlga_ramun_ask_about_capturing_5:ramun_ask_about_capturing_7|Nur noch eins: Die Verwaltung von Gefangenen ist kein einfaches Unterfangen, und man könnte sie als eigenständige Fertigkeit bezeichnen. Wenn Ihr viele Gefangene nehmen wollt, solltet Ihr diese Fähigkeit mit allem, was dazugehört, erlernen. Andernfalls werdet Ihr keinen einzigen Gefangenen behalten können.
dlga_ramun_ask_about_capturing_7:ramun_pre_talk|Danke, ich werde das im Hinterkopf behalten.
dlga_ramun_talk:ramun_leave|Ich mache mich besser auf den Weg.
dlga_ramun_leave:close_window|Vergesst nicht, mir alle Gefangenen zu bringen, die Ihr macht. Ich bezahle Euch für jeden von Ihnen eine gute Kopfprämie!
dlga_start:manhunter_talk_b|He, Ihr da! Habt Ihr hier irgendwo Banditen gesehen?
dlga_manhunter_talk_b:manhunter_talk_b1|Fürwahr, sie sind vor einer Stunde hier entlang gekommen.
dlga_manhunter_talk_b1:close_window|Ich wusste es! Kommt, Leute, diese Lumpen schnappen wir uns! Danke, Freund.
dlga_manhunter_talk_b:manhunter_talk_b2|Nein, ich habe in letzter Zeit keinerlei Banditen gesehen.
dlga_manhunter_talk_b2:close_window|Unerhört. In diesem Land kriechen sie wie Ratten in jedes Loch, aber wir werden sie früher oder später schon ausräuchern.
dlga_start:looters_1|Warning: This line should never be displayed.
dlga_looters_1:looters_2|{s4}
dlga_looters_2:close_window|Ich fürchte Euch nicht. Stellt Euch zum Kampf, wenn Ihr es wagt!
dlga_looters_2:close_window.1|Ihr werde Euch meine Klinge zu schmecken geben, elendes Gesindel.
dlga_start:village_farmer_talk|Mein {Fürst/Fürstin}, wir sind arme Bauern vom Dorf {s11}. {reg1?Wir bringen unsere Waren zum Markt in {s12}.:Wir sind auf dem Rückweg vom Markt in {s12} zu unserem Dorf.}
dlga_village_farmer_talk:close_window|Gebt mir eure Habseligkeiten, Bauernpack. Dann werden wir schon sehen, wie arm ihr wirklich seid ...
dlga_village_farmer_talk:close_window.1|Nun denn, gehabt Euch wohl.
dlga_start:member_castellan_talk|Ja, {playername}? Wie kann ich Euch zu Diensten sein?
dlga_member_castellan_pretalk:member_castellan_talk|Schon gut.
dlga_member_castellan_talk:member_review_castle_garrison|Ich möchte die Burggarnison überprüfen.
dlga_member_review_castle_garrison:member_castellan_pretalk|Selbstverständlich. Hier sind unsere Soldlisten, bitte lasst mich Eure Änderungswünsche wissen ...
dlga_member_castellan_talk:member_review_castellan_equipment|Lasst mich Eure Ausrüstung sehen.
dlga_member_review_castellan_equipment:member_castellan_pretalk|Sehr wohl, bitte seht selbst ...
dlga_member_castellan_talk:member_castellan_join|Ich verlange, dass Ihr die Burg verlasst und Euch meinem Trupp anschließt.
dlga_member_castellan_join:close_window|Ich habe diesen Ort lieb gewonnen ... Aber wenn Ihr es wünscht, {playername}, werde ich Euch folgen.
dlga_member_castellan_join:member_castellan_pretalk|Und wo sollen wir nächtigen? Ihr habt eine ganze Armee zum Gefolge, {playername}, es gibt keinen Platz mehr für alle von uns.
dlga_member_castellan_talk:close_window|[Verlassen]
dlga_start:member_wilderness_talk|Soll ich mich Euch wieder anschließen?
dlga_start:member_inn_talk|Soll ich mich Euch wieder anschließen?
dlga_member_chat:kidnapped_girl_chat_1|Sind wir schon zu Hause?
dlga_kidnapped_girl_chat_1:kidnapped_girl_chat_2|Noch nicht.
dlga_kidnapped_girl_chat_2:close_window|Ich kann es kaum noch erwarten. Ich habe meine Familie so sehr vermisst - ich würde alles geben, sie wieder zu sehen.
dlga_member_chat:member_lady_1|{playername}, wann werden wir Eurer Einschätzung nach unseren Bestimmungsort erreichen?
dlga_member_lady_1:member_lady_2a|Wir haben noch einen langen Weg vor uns.
dlga_member_lady_1:member_lady_2b|Sehr bald, wir sind fast dort.
dlga_member_lady_2a:close_window|Ah, dann werde ich den Weg noch eine Weile länger genießen. Ich beschwere mich nicht, denn so ein Ausritt im Freien ist viel schöner, als den ganzen Tag in einer Burg zu sitzen. Ich beneide Euch, müsst Ihr wissen. Ihr könnt dieses Leben die ganze Zeit genießen.
dlga_member_lady_2b:close_window|Das sind gute Neuigkeiten. Nicht dass mir Eure Gesellschaft nicht zusagen würde, doch ich vermisse meinen täglichen Luxus. Trotzdem grämt es mich, dass ich Euch so bald verlassen muss. Ihr müsst mir versprechen, mich zu besuchen, wenn es Euch möglich ist.
dlga_member_chat:supported_pretender_talk|Seid gegrüßt, {playername}, mein erster und wichtigster Vasall. Ich harre Eures Ratschlags.
dlga_supported_pretender_pretalk:supported_pretender_talk|Sonst noch was?
dlga_supported_pretender_talk:pretender_progress|Wie bewertet Ihr den bisherigen Fortschritt?
dlga_pretender_progress:pretender_progress_2|{reg11?Wir haben {reg11} Fürsten auf unserer Seite:Bisher steht noch kein Fürst zu uns}, wohingegen {reg21?{s9} immer noch von {reg21} Fürsten unterstützt wird:{s9} hat keine loyalen Fürsten mehr}. {reg19?Wir kontrollieren {reg13?{reg13} Städe:} {reg14?{reg14} Burgen:} {reg15?und {reg15} Dörfer:}:Wir kontrollieren keinerlei Siedlungen}, während {reg29?sie {reg23?{reg23} Städe:} {reg24?{reg24} Burgen:} {reg25?und {reg25} Dörfer haben:}:sie haben keinerlei Siedlungen mehr}. Gesamt: {s30}.
dlga_pretender_progress_2:supported_pretender_pretalk|Dann müssen wir weiter kämpfen und unsere Verbündeten versammeln!
dlga_pretender_progress_2:pretender_quit_rebel_confirm|Diese Rebellion scheint zum Scheitern verurteilt, wir müssen aufgeben.
dlga_pretender_quit_rebel_confirm:pretender_quit_rebel_confirm_2|{playername}, Ihr könnt mich jetzt nicht im Stich lassen. Meint Ihr das im Ernst?
dlga_pretender_quit_rebel_confirm_2:pretender_quit_rebel_confirm_3|Sehr wohl, ich kann Euch nicht länger unterstützen.
dlga_pretender_quit_rebel_confirm_2:supported_pretender_pretalk|Kleiner Scherz. Natürlich werde ich bis zum Sieg für Euch kämpfen.
dlga_pretender_quit_rebel_confirm_3:pretender_quit_rebel_confirm_4|Seid Ihr Euch wirklich sicher? Ich würde Euren Verrat an unserer Sache niemals verzeihen.
dlga_pretender_quit_rebel_confirm_4:pretender_quit_rebel|Ich bin mir sicher.
dlga_pretender_quit_rebel_confirm_4:supported_pretender_pretalk|Lasst mich das noch ein wenig überdenken.
dlga_pretender_quit_rebel:close_window|So sei es. Also ist meine Sache gescheitert. Nun gibt es nur noch einen Ausweg: Ich werde Calradia verlassen und niemals zurückkehren
dlga_supported_pretender_talk:supported_pretender_equip|{reg65?Meine Dame:Mein Fürst}, würdet Ihr mir gestatten, Eure Ausrüstung zu überprüfen?
dlga_supported_pretender_equip:supported_pretender_pretalk|Sehr wohl, bitte seht selbst ...
dlga_supported_pretender_talk:pretneder_view_char_requested|Wärt Ihr gewillt, mich Eure Fertigkeiten wissen zu lassen?
dlga_pretneder_view_char_requested:supported_pretender_pretalk|Wohlan, bitte sehr.
dlga_supported_pretender_talk:close_window|{reg65?Meine Fürstin:Herr}, wir müssen weiter.
dlga_do_member_trade:member_talk|Sonst noch was?
dlga_member_chat:member_talk|Ja, {s5}?
dlga_member_talk:member_trade|Lasst mich Eure Ausrüstung sehen.
dlga_member_trade:do_member_trade|Sehr wohl, bitte seht selbst ...
dlga_member_talk:view_member_char_requested|Was könnt Ihr mir über Eure Fertigkeiten berichten?
dlga_view_member_char_requested:do_member_view_char|Nun, was meine Fertigkeiten anbetrifft ...
dlga_member_talk:member_separate|Wir müssen vorübergehend getrennte Wege gehen.
dlga_member_separate:member_separate_confirm|Tatsächlich? Ich werde jedenfalls nicht hier warten, sondern in den Städten nach einem anderen Herrn suchen. Wollt Ihr das wirklich?
dlga_member_separate:companion_quitting|Nun, es gibt tatsächlich etwas, das ich Euch sagen muss ...
dlga_member_separate_confirm:member_separate_yes|Das ist richtig. Wir müssen uns trennen.
dlga_member_separate_confirm:do_member_trade|Nein, ich möchte Euch lieber an meiner Seite wissen.
dlga_member_separate_yes:close_window|Wohlan. Dann werde ich aufbrechen. Sucht mich auf, wenn Ihr meine Dienste benötigt.
dlga_member_talk:member_question|Ich möchte Euch etwas fragen.
dlga_member_talk:close_window|Vergesst es.
dlga_member_question:member_question_2|Nun gut. Was wolltet Ihr mich fragen?
dlga_member_question_2:member_morale|Was haltet Ihr vom Zusammenhalt unseres Trupps?
dlga_member_question_2:member_background_recap|Erzählt mir Eure Geschichte noch einmal.
dlga_member_morale:do_member_trade|{s21}
dlga_member_background_recap:member_background_recap_2|{s5}
dlga_member_background_recap_2:member_background_recap_3|{s5}
dlga_member_background_recap_3:do_member_trade|Und kurz darauf schloss ich mich Euch an.
dlga_do_member_view_char:member_talk|Sonst noch was?
dlga_start:close_window.1|Lasst uns aufbrechen, wenn Ihr fertig seid.
dlga_start:close_window.2|Leider habe ich heute keine Zeit mehr für Euch, {mein Herr/meine Dame}. Vielleicht werden wir uns irgendwann auf unseren Reisen treffen.
dlga_start:companion_recruit_intro_response|{s5}
dlga_companion_recruit_intro_response:companion_recruit_backstory_a|{s6}
dlga_companion_recruit_intro_response:close_window|{s7}
dlga_companion_recruit_backstory_a:companion_recruit_backstory_b|{s5}
dlga_companion_recruit_backstory_b:companion_recruit_backstory_c|{s5}
dlga_companion_recruit_backstory_c:companion_recruit_backstory_response|{s5}
dlga_companion_recruit_backstory_response:companion_recruit_signup|{s6}
dlga_companion_recruit_backstory_response:close_window|{s7}
dlga_companion_recruit_signup:companion_recruit_signup_b|{s5}
dlga_companion_recruit_signup_b:companion_recruit_signup_response|{s5}
dlga_companion_recruit_signup_response:close_window|Leider kann ich derzeit in meinen Trupp keine weiteren Kräfte aufnehmen.
dlga_companion_recruit_signup_response:companion_recruit_payment|{s6}
dlga_companion_recruit_signup_response:close_window.1|{s7}
dlga_companion_recruit_payment:companion_recruit_signup_confirm|.
dlga_companion_recruit_payment:companion_recruit_payment_response|{s5}
dlga_companion_recruit_payment_response:companion_recruit_signup_confirm|{s6}
dlga_companion_recruit_payment_response:close_window|Verzeiht, doch das kann ich mir momentan nicht leisten.
dlga_start:companion_recruit_meet_again|Wir werden uns wiedersehen.
dlga_companion_recruit_meet_again:companion_recruit_backstory_delayed|Also ... wie ist es Euch seit unserem letzten Treffen ergangen?
dlga_companion_recruit_meet_again:close_window|Guten Tag.
dlga_start:companion_recruit_secondchance|Ja?
dlga_companion_recruit_secondchance:companion_recruit_backstory_b|Verzeiht, falls ich zuvor unhöflich gewesen sein sollte. Was war nochmal Eure Geschichte?
dlga_companion_recruit_secondchance:close_window|Vergesst es.
dlga_companion_recruit_backstory_delayed:companion_recruit_backstory_delayed_response|{s5}
dlga_companion_recruit_backstory_delayed_response:companion_recruit_signup_b|Euch könnte ich in meinem Trupp gut gebrauchen.
dlga_companion_recruit_backstory_delayed_response:close_window|Ich werde es Euch wissen lassen, sollte mir etwas zu Ohren kommen.
dlga_companion_recruit_signup_confirm:close_window|Gut! Gebt mir einen Augenblick, um mich vorzubereiten, dann bin ich bereit zum Aufbruch.
dlga_start:companion_rehire|Wenn Ihr wollt, werde ich mich Euch wieder anschließen, mein Angebot steht noch.
dlga_start:companion_rehire.1|Es ist gut, Euch lebend wieder zu sehen, {s5}! {s6} und ich wussten nicht, ob Ihr in Gefangenschaft geraten, erschlagen worden oder davon gekommen wart. Seither bin ich auf der Suche nach Euch durch die Lande gezogen. Soll ich meine Ausrüstung holen und mich wieder Eurem Trupp anschließen?
dlga_start:companion_rehire.2|{s5}
dlga_start:companion_was_dismissed|Es ist gut, Euch zu sehen, {s21}! Wahrlich, ich hatte gehofft, auf Euch zu treffen.
dlga_companion_was_dismissed:companion_rehire|{s5}. Möchtet Ihr Euch wieder meinem Trupp anschließen?
dlga_companion_rehire:companion_recruit_signup_confirm|Willkommen zurück, mein Freund!
dlga_companion_rehire:companion_rehire_refused|Verzeiht, aber ich kann momentan niemand mehr aufnehmen.
dlga_companion_rehire_refused:close_window|Wohlan ... Ihr wisst ja, wo ich bin, solltet Ihr Eure Meinung ändern, was?
dlga_event_triggered:center_captured_lord_advice|{s1} wird von niemand verwaltet. Wen soll ich mit der Aufgabe betrauen?
dlga_center_captured_lord_advice:center_captured_lord_advice_2|{s11}. {s1}
dlga_center_captured_lord_advice:center_captured_lord_advice_2.1|Bitte, {s65}, ich möchte {s1} für mich selbst nehmen. (Lehen:{s0})
dlga_center_captured_lord_advice:center_captured_lord_advice_2.2|{s66}, Ihr solltet {s1} für Euch selbst haben. (Lehen:{s0})
dlga_center_captured_lord_advice_2:close_window|Hmmm. In Ordnung, {playername}. Ich schätze Euren Rat sehr. {s1} wird von nun als von {reg6?mir:{reg7?Euch:{s11}}} als {reg3?meine Dame:Fürst} regiert.
dlga_event_triggered:companion_quitting|{s5} – ich muss Euch etwas erzählen.
dlga_companion_quitting:companion_quitting_2|{s5}
dlga_companion_quitting_2:companion_quitting_response|Um Euch die Wahrheit zu sagen, {s21}.
dlga_companion_quitting_response:companion_quitting_yes|Nun gut, dann geht Eures Weges.
dlga_companion_quitting_response:companion_quitting_persuasion|Vielleicht kann Ich Eure Meinung noch ändern?
dlga_companion_quitting_persuasion:close_window|Hmmm, wenn dem so ist, werde ich noch etwas länger bleiben. Vielleicht wird es ja besser ...
dlga_companion_quitting_persuasion:companion_quitting_response|Verzeiht, aber auf was wollt Ihr hinaus? Ich gehe – ob es Euch gefällt oder nicht ...
dlga_companion_quitting_response:companion_quitting_no|In diesem Trupp knüpfen wir Deserteure am nächsten Baum auf.
dlga_companion_quitting_no:companion_quitting_no_confirm|Oh ... Verstanden ... Meint Ihr das im Ernst?
dlga_companion_quitting_no_confirm:companion_quitting_no_confirmed|Todernst. Entweder Ihr verlasst diesen Trupp auf meinen Befehl oder wir bahren Euch auf Eurem Schild auf.
dlga_companion_quitting_no_confirm:companion_quitting_yes|Nein, so weit würde ich nicht gehen. Ihr seid frei.
dlga_companion_quitting_yes:close_window|Dann bedeutet dies meinen Abschied. Vielleicht werden wir uns wiedersehen, {playername}.
dlga_companion_quitting_no_confirmed:close_window|Hmmm, dann bleibe ich wohl.
dlga_event_triggered:companion_objection_response|{s5}
dlga_companion_objection_response:close_window|Danke, ich schätze Eure Unterstützung.
dlga_companion_objection_response:close_window.1|Hoffentlich wird das nicht mehr passieren.
dlga_companion_objection_response:close_window.2|Euer Einwand wurde zur Kenntnis genommen. Nun zurück ins Glied mit Euch.
dlga_event_triggered:companion_personalityclash2_b|{s5}
dlga_companion_personalityclash2_b:companion_personalityclash2_response|{s5}
dlga_companion_personalityclash2_response:close_window|{s11} ist ein wertvolles Mitglied dieses Trupps. Ich möchte nicht, dass Ihr weitere Streitereien mit {reg11?ihr:ihm} anzettelt.
dlga_companion_personalityclash2_response:close_window.1|Sagt {s11}, dass ich Euch in dieser Sache unterstütze, und dass {reg11?sie:er} {reg11?ihre:seine} Zunge hüten soll.
dlga_companion_personalityclash2_response:close_window.2|Ich habe keine Zeit für Eure Streitereien. Stört mich nicht mehr mit diesem Unfug.
dlga_event_triggered:companion_personalityclash_b|{s5}
dlga_companion_personalityclash_b:companion_personalityclash_response|{s5}
dlga_companion_personalityclash_response:close_window|{s11} ist ein wertvolles Mitglied dieses Trupps. Ich möchte nicht, dass Ihr weitere Streitereien mit {reg11?ihr:ihm} anzettelt.
dlga_companion_personalityclash_response:close_window.1|Sagt {s11}, dass ich Euch in dieser Sache unterstütze, und dass {reg11?sie:er} {reg11?ihre:seine} Zunge hüten soll.
dlga_companion_personalityclash_response:close_window.2|Ich habe keine Zeit für Eure Streitereien. Stört mich nicht mehr mit diesem Unfug.
dlga_event_triggered:companion_personalitymatch_b|{s5}
dlga_companion_personalitymatch_b:companion_personalitymatch_response|{s5}
dlga_companion_personalitymatch_response:close_window|Sehr gut.
dlga_event_triggered:companion_home_description|{s5}
dlga_companion_home_description:companion_home_description_2|Erzählt mir mehr.
dlga_companion_home_description:close_window|Wir haben jetzt keine Zeit für Geplauder.
dlga_companion_home_description:close_window.1|Ich würde bevorzugen, dass mich meine Gefährten nicht mit derartigen Belanglosigkeiten belästigen.
dlga_companion_home_description_2:companion_home_description_3|{s5}
dlga_companion_home_description_3:close_window|{s5}
dlga_event_triggered:rebel_thanks_answer|{s6}
dlga_rebel_thanks_answer:rebel_thanks_answer_2|Es war eine Ehre, für Eure Sache zu kämpfen, {reg65?Herrin:mein Fürst}.
dlga_rebel_thanks_answer:rebel_thanks_answer_2.1|Ihr könnt Euch stets meiner ergebenen Treue sicher sein, {reg65?meine Fürstin:Herr}.
dlga_rebel_thanks_answer_2:close_window|Ich werde es vermissen, dieses Abenteurerleben mit Euch zu führen, doch meine Pflichten erwarten mich. Also ... gehabt Euch wohl, {playername}. Ich hoffe, ich werde Euch bald wiedersehen.
dlga_event_triggered:close_window.1|Sorry -- just talking to myself [ERROR]
dlga_start:player_siege_castle_commander_1|Was wollt Ihr?
dlga_player_siege_castle_commander_1:player_siege_ask_surrender|Ergebt Euch! Eure Lage ist hoffnungslos!
dlga_player_siege_castle_commander_1:close_window|Nichts, gehabt Euch wohl.
dlga_player_siege_ask_surrender:player_siege_ask_surrender_treatment|Das kommt darauf an ... Gebt Ihr Euer Ehrenwort, dass wir gut behandelt würden?
dlga_player_siege_ask_surrender:player_siege_ask_leave_unmolested|Wir sind bereit, diese Burg an Euch zu übergeben und abzuziehen, wenn Ihr mir Euer Ehrenwort gebt, dass Ihr uns nicht schaden werdet.
dlga_player_siege_ask_surrender:close_window|Ergeben? Hah! Wir können diese Mauern halten, bis wir als alte Männer sterben.
dlga_player_siege_ask_surrender_treatment:player_siege_ask_surrender_treatment_reject|Gar nichts gebe ich Euch. Ergebt Euch augenblicklich oder bereitet Euch auf den Tod vor!
dlga_player_siege_ask_surrender_treatment_reject:close_window|Bastard. Wir werden Euch bis zum letzten Mann bekämpfen!
dlga_player_siege_ask_surrender_treatment:player_siege_ask_surrender_treatment_accept|Euch werde ich als Geisel nehmen, Euren Soldaten wird nichts geschehen. Ich gebe Euch mein Wort darauf.
dlga_player_siege_ask_surrender_treatment_accept:close_window|Nun gut,unter diesen Bedingungen biete ich meine Kapitulation an.
dlga_player_siege_ask_leave_unmolested:player_siege_ask_leave_unmolested_accept|Ihr habt mein Wort. Wir werden Euch beim Verlassen der Burg nicht angreifen.
dlga_player_siege_ask_leave_unmolested_accept:close_window|Nun gut. Dann übergeben wir Euch diese Burg. Heute mögt Ihr gewonnen haben, aber das letzte Wort ist noch nicht gesprochen.
dlga_player_siege_ask_leave_unmolested:player_siege_ask_leave_unmolested_reject|Das ist inakzeptabel, ich will Gefangene haben.
dlga_player_siege_ask_leave_unmolested_reject:close_window|Dann werden wir diese Burg bis zum Tod verteidigen. Diese Unterredung ist damit beendet, lebt wohl.
dlga_start:freed_lord_answer|Ihr habt mich befreit. Dafür stehe ich auf ewig in Eurer Schuld, mein Freund.
dlga_freed_lord_answer:freed_lord_answer_1|Du wirst nirgendwo hingehen, 'Freundchen'. Du bist jetzt mein Gefangener.
dlga_freed_lord_answer_1:close_window|Dafür werde ich deinen Kopf eines Tages auf einen Spieß stecken, du Bastard!
dlga_freed_lord_answer:freed_lord_answer_2|Herr, Ihr könnt gehen, wohin Ihr wollt.
dlga_freed_lord_answer_2:close_window|Ich danke Euch, oh {Herr/Fürstin}. Ich vergesse niemanden, der gut zu mir gewesen ist.
dlga_start:defeat_lord_answer|{s43}
dlga_defeat_lord_answer:defeat_lord_answer_1|Ihr seid nun mein Gefangener.
dlga_defeat_lord_answer_1:close_window|Ich bin Eurer Gnade ausgeliefert.
dlga_defeat_lord_answer:defeat_lord_answer_2|Ihr habt gut gekämpft, daher schenke ich Euch die Freiheit.
dlga_defeat_lord_answer_2:close_window|{s43}
dlga_start:party_encounter_lord_hostile_attacker|{playername}!
dlga_start:party_encounter_lord_hostile_attacker.1|Halt!
dlga_party_encounter_lord_hostile_attacker:party_encounter_lord_hostile_attacker|{s42}
dlga_party_encounter_lord_hostile_attacker:party_encounter_lord_hostile_attacker_2|{s43}
dlga_party_encounter_lord_hostile_attacker_2:party_encounter_offer_dont_fight|Könnte dieses Gefecht nicht vermieden werden? Ich möchte nicht mit Euch kämpfen.
dlga_party_encounter_lord_hostile_attacker_2:close_window|Nicht angreifen, wir ergeben uns!
dlga_party_encounter_lord_hostile_attacker_2:close_window.1|Wir werden bis zum letzten Mann kämpfen!
dlga_party_encounter_offer_dont_fight:close_window|Ich schulde Euch einen Gefallen, nicht wahr? Wohlan ... so sei es. Dieses eine Mal werde ich Euch noch ziehen lassen.
dlga_party_encounter_offer_dont_fight:close_window.1|Haha. Aber ich mit Euch!
dlga_start:pretender_start|[Unsere erste Aufgabe ist die Eroberung einer Festung. Danach werden sich uns andere Fürsten anschließen.]
dlga_start:supported_pretender_talk|Ich warte auf Euren Rat, {playername}.
dlga_start:pretender_intro_1|Kennen wir uns?
dlga_pretender_intro_1:pretender_intro_2|Mein Name lautet {playername}. Ich stehe zu Diensten.
dlga_pretender_intro_1:pretender_intro_2.1|Ich bin {playername}. Vielleicht habt Ihr von meinen Heldentaten gehört?
dlga_pretender_intro_2:pretender_intro_3|{s48}
dlga_pretender_intro_3:pretender_rebellion_cause_1|Ich dachte, {s12} würde von {s11} regiert?
