str_no_string|NO STRING!
str_tutorial_1_msg_1|In diesem Tutorial lernt Ihr die Grundlagen von Bewegung und Kampf. In Mount&Blade steuert Ihr mit der Maus Eure Blickrichtung und mit den WASD-Tasten auf der Tastatur Eure Bewegungsrichtung. Eure erste Übungsaufgabe ist, die gelbe Flagge in diesem Raum zu finden und Euch zu ihr hinzubewegen. Ihr könnt die Tab-Taste jederzeit drücken, um dieses Tutorial zu verlassen oder zu einem anderen Bereich im Spiel zu wechseln. Geht jetzt zur gelben Flagge.
str_tutorial_1_msg_2|Gut gemacht. Als nächstes üben wir den Angriff mit Waffen. Für dieses Tutorial seid Ihr nun mit Pfeil und Bogen, einem Schwert und einem Schild ausgerüstet. Mit Eurem Mausrad könnt Ihr verschiedene Waffen aus Euren Waffen-Slots ziehen. In der voreingestellten Konfiguration wird mit Mausrad nach oben die nächste Waffe gezogen, und Mausrad nach unten aktiviert Euer Schild. Wenn Ihr schon einen Schild haltet, steckt Mausrad nach unten den Schild wieder weg. Versucht nun, Eure Waffen und Euren Schild mit dem Mausrad auszuwechseln. Wenn Ihr bereit seid, geht zur gelben Flagge, um zur nächsten Aufgabe zu gehen.
str_tutorial_1_msg_3|Ausgezeichnet. Der nächste Teil dieses Tutorials behandelt den Angriff mit Nahkampfwaffen. Die linke Maustaste lässt Euch mit Eurer gerade aktivierten Waffe angreifen. Drückt und haltet die Taste, um einen Angriff vorzubereiten, und lasst dann die Taste los, um zuzuschlagen. Je länger Ihr die linke Maustaste vor dem Loslassen gedrückt haltet, desto stärker wird Euer Schlag. Jetzt zieht Euer Schwert und vernichtet die vier Strohpuppen in diesem Raum.
str_tutorial_1_msg_4|Gute Arbeit! Ihr habt alle vier Strohpuppen zerstört. Ihr könnt nun in den nächsten Raum gehen.
str_tutorial_1_msg_5|Wie Ihr seht, befindet sich auf der gegenüberliegenden Seite des Raumes eine Zielscheibe. Eure nächste Aufgabe ist, mit Eurem Bogen drei Pfeile in das Ziel zu schießen. Drückt und haltet die linke Maustaste, um einen Pfeil einzulegen. Dann könnt Ihr den Pfeil abschießen, indem Ihr die linke Maustaste loslasst. Achtet auf die Zielkreise in der Mitte Eures Bildschirms, die die Genauigkeit Eures Schusses anzeigen. Um optimale Genauigkeit, zu erzielen, schießt Ihr den Pfeil ab, wenn die Kreise am kleinsten sind. Versucht nun, auf das Ziel zu schießen.
str_tutorial_1_msg_6|Gut gemacht! Ihr habt nun die Grundlagen von Bewegung und Angriff erlernt. Mit etwas Übung werdet Ihr sie bald meistern. Im zweiten Tutorial könnt Ihr fortgeschrittenere Kampfkünste lernen und Euch mit bewaffneten Gegnern messen. Ihr könnt jederzeit die Tab-Taste drücken, um zum Tutorial-Menü zurückzukehren.
str_tutorial_2_msg_1|Dieses Tutorial wird Euch lehren, Euch mit einem Schild zu verteidigen und bewaffnete Gegner zu bekämpfen. Im Moment seid Ihr mit nichts als einem Schild bewaffnet. Eure Aufgabe ist es nicht, anzugreifen, sondern Euch mit Eurem Schild erfolgreich zu schützen. Ein bewaffneter Gegner wartet im nächsten Raum auf Euch. Er wird sein Bestes tun, Euch ohnmächtig zu schlagen, während Ihr Euch mit Eurem Schild schützen müsst, indem Ihr die linke Maustaste drückt und haltet. Geht jetzt in den nächsten Raum, um Euren Gegner anzugehen. Denkt daran, dass Ihr die Tab-Taste jederzeit drücken könnt, um dieses Tutorial zu verlassen oder zu einem anderen Bereich im Spiel zu wechseln.
str_tutorial_2_msg_2|Drückt und haltet die linke Maustaste, um Euer Schild zu heben. Versucht, dreißig Sekunden lang stehen zu bleiben. Ihr habt noch {reg3} Sekunden.
str_tutorial_2_msg_3|Gut gemacht, Ihr habt Euch erfolgreich gegen einen bewaffneten Gegner verteidigt. In der nächste Phase dieses Tutorials werdet Ihr Euch mit Eurem Schild gegen eine Reihe feindlicher Bogenschützen verteidigen. Geht zum nächsten Raum wenn Ihr bereit seid, die Bogenschützen anzunehmen.
str_tutorial_2_msg_4|Verteidigt Euch gegen die Pfeile, indem Ihr Euren Schild mit der linken Maustaste hebt. Versucht, dreißig Sekunden lang stehen zu bleiben. Ihr habt noch {reg3} Sekunden.
str_tutorial_2_msg_5|Ausgezeichnet, Ihr habt Euch erfolgreich gegen die Bogenschützen verteidigt. Im nächsten Raum wartet eine Belohnung auf Euch.
str_tutorial_2_msg_6|In der voreingestellten Konfiguration dient die F-Taste auf Eurer Tastatur zur gewaltlosen Interaktion mit Objekten und Menschen in der Spielwelt. Um Euer Schwert auf dem Altar aufzunehmen, schaut Ihr es an und drückt F, wenn das Wort 'Ausrüsten' erscheint.
str_tutorial_2_msg_7|Eine feine Waffe! Nun könnt Ihr es damit jemandem heimzahlen. Geht zurück durch die Tür und erledigt die Bogenschützen, die Euch zuvor angegriffen haben.
str_tutorial_2_msg_8|Sehr gut. Eure letzte Aufgabe vor dem Ende des Tutorials ist der Schwertkämpfer. Geht jetzt durch die Tür und zeigt ihm Eure Klinge!
str_tutorial_2_msg_9|Glückwunsch! Ihr habt nun die Verteidigung mit einem Schild erlernt, und sogar Euren ersten Kampf mit einem bewaffneten Gegner vollzogen. Mit etwas mehr Übung werdet Ihr bald ein renommierter Schwertkämpfer. Das nächste Tutorial behandelt direktionale Verteidigung. Hierbei handelt es sich um eins der wichtigsten Elemente des Kampfes in Mount&Blade. Ihr könnt jederzeit die Tab-Taste drücken, um zum Tutorial-Menü zurückzukehren.
str_tutorial_3_msg_1|Dieses Tutorial gibt Euch einen Überblick über Parieren und Verteidigung ohne Schild. Das Parieren von Angriffen mit Eurer Waffe ist etwas schwieriger, als sie mit einem Schild abzublocken. Wenn Ihr mit einer Waffe pariert, seid Ihr nur in einer Richtung geschützt, nämlich der, in die Eure Waffe ausgerichtet ist. Wenn Ihr nach aufwärts blockiert, pariert Ihr alle von oben kommenden Schläge, aber keine Stöße oder Angriffe auf Eure Seiten. Diese Angriffsarten würden Euch trotzdem treffen. Daher müsst Ihr die direktionale Verteidigung lernen, um ohne Schild überleben zu können. Holt Euch nun den Kampfstab, um mit der Übung zu beginnen.
str_tutorial_3_msg_2|Als Voreinstellung wird die Richtung Eurer Verteidigung (mittels Klicken und Halten der linken Maustaste) durch die Angriffsrichtung Eures nächsten Gegners bestimmt. Wenn zum Beispiel Euer Gegner einen Stoß vorbereitet, könnt Ihr durch Drücken und Halten der linken Maustaste Stöße parieren, aber keine Angriffe von der Seite oder von oben. Ihr müsst Euren Gegner sorgfältig beobachten und dürft Eure Parade nur beginnen, NACHDEM er seinen Angriff beginnt. Wenn Ihr startet, BEVOR er angreift, könnte Eure Abwehr in die falsche Richtung gehen! Nun ist es Zeit, in den nächsten Raum zu gehen, in dem Ihr Euch gegen einen bewaffneten Gegner verteidigen müsst. Eure Aufgabe ist, Euch dreißig Sekunden lang mit nichts als einem einfachen Kampfstab erfolgreich zu verteidigen. Die Angriffe Eures Kampfstabs sind für dieses Tutorial deaktiviert, macht Euch also keine Gedanken über Angriffe, sondern konzentriert Euch auf die Verteidigung. Geht in den nächsten Raum, wenn Ihr zum Kampf bereit seid.
str_tutorial_3_msg_3|Drückt und haltet die linke Maustaste, um Euch mit Eurem Stab zu verteidigen, nachdem Euer Gegner seine Attacke beginnt. Versucht, dreißig Sekunden lang stehen zu bleiben. Ihr habt noch {reg3} Sekunden.
str_tutorial_3_msg_4|Gut gemacht, Ihr habt diese Prüfung bestanden! Nun werdet Ihr gegen einen schwierigeren Gegner antreten. Geht in den nächsten Raum, wenn Ihr bereit seid.
str_tutorial_3_msg_5|Drückt und haltet die linke Maustaste, um Euch mit Eurem Stab zu verteidigen, nachdem Euer Gegner seine Attacke beginnt. Versucht, dreißig Sekunden lang stehen zu bleiben. Ihr habt noch {reg3} Sekunden.
str_tutorial_3_msg_6|Glückwunsch, trotz aller Anstrengungen des Feindes steht Ihr immer noch. Nun ist es an der Zeit, anzugreifen und zu verteidigen. Geht zur Tür und drückt die F-Taste, wenn das Wort 'Los' erscheint.
str_tutorial_3_2_msg_1|Angriffe mit Eurem Stab sind nun wieder aktiviert. Euer erster Gegner wartet im nächsten Raum. Besiegt ihn mit einer Kombination aus Angriff und Verteidigung.
str_tutorial_3_2_msg_2|Besiegt Euren Gegner mit Eurem Kampfstab.
str_tutorial_3_2_msg_3|Ausgezeichnet. Nun steht Euch nur noch ein letzter Gegner im Weg. Er ist im nächsten Raum. Geht hinein und haut ihn um.
str_tutorial_3_2_msg_4|Besiegt Euren Gegner mit Eurem Kampfstab.
str_tutorial_3_2_msg_5|Gut gemacht! In diesem Tutorial habt Ihr den Kampf ohne Schild gelernt. Übt viel und gründlich, und niemand wird Euch ein Haar krümmen können. Im nächsten Tutorial lernt Ihr Reiten und den Kampf zu Pferd. Ihr könnt jederzeit die Tab-Taste drücken, um zum Tutorial-Menü zurückzukehren.
str_tutorial_4_msg_1|Willkommen zum vierten Tutorial. Hier werdet Ihr lernen, wie man reitet und verschiedenerlei Kampfarten zu Pferd ausführt. Beginnen wir mit dem Aufsitzen. Nähert Euch dem Pferd und drückt die 'F'-Taste, wenn das Wort 'Aufsitzen' erscheint.
str_tutorial_4_msg_2|Während Ihr im Sattel sitzt, kontrollieren die WASD-Tasten die Bewegungen Eures Pferds, nicht die Euren. Versucht, zu Pferd der gelben Flagge um die Bahn herum zu folgen. Wenn Ihr die Flagge erreicht, bewegt sie sich zum nächsten Wegpunkt auf der Bahn, bis Ihr das Ziel erreicht.
str_tutorial_4_msg_3|Sehr gut. Als nächstes lernt Ihr, Feinde vom Sattel aus anzugreifen. Reitet nun zur gelben Flagge.
str_tutorial_4_msg_4|Zieht Euer Schwert (mit dem Mausrad) und zerstört die vier Ziele. Versucht, die Strohpuppen zu treffen, während Ihr im vollen Galopp an ihnen vorbeireitet -- dies bietet eine zusätzliche Herausforderung, aber die höhere Geschwindigkeit verleiht Euren Schlägen auch mehr Wucht. Am einfachsten ist dies zu bewerkstelligen, indem Ihr die linke Maustaste drückt und haltet, bis der richtige Moment gekommen ist, und sie dann loslasst, kurz bevor Ihr am Ziel vorbeireitet.
str_tutorial_4_msg_5|Ausgezeichnete Arbeit. Versuchen wir nun, vom Sattel aus zu schießen. Reitet hinüber zur gelben Flagge.
str_tutorial_4_msg_6|Sucht die Zielscheibe neben der Reitbahn und schießt drei Mal mit Eurem Bogen darauf. Obwohl Ihr während des Schießens nicht reiten müsst, ist es empfehlenswert, das Ziel bei verschiedenen Geschwindigkeiten und Winkeln zu beschießen, um ein Gefühl dafür zu bekommen, wie der Laufweg und die Geschwindigkeit Eures Pferdes Euer Zielen beeinflusst.
str_tutorial_4_msg_7|Glückwunsch, Ihr habt dieses Tutorial abgeschlossen. Ihr könnt jederzeit die Tab-Taste drücken, um zum Tutorial-Menü zurückzukehren.
str_tutorial_5_msg_1|TODO: Follow order to the flag
str_tutorial_5_msg_2|TODO: Move to the flag, keep your units at this position
str_tutorial_5_msg_3|TODO: Move to the flag to get the archers
str_tutorial_5_msg_4|TODO: Move archers to flag1, infantry to flag2
str_tutorial_5_msg_5|TODO: Enemy is charging. Kämpft!
str_tutorial_5_msg_6|TODO: End of battle.
str_trainer_help_1|Dies ist ein Übungsplatz, wo Ihr die Grundlagen des Spiels erlernt. Mit den Tasten A, S, D und W bewegt Ihr Euch und mit der Maus schaut Ihr herum.
str_trainer_help_2|Um mit dem Ausbilder zu sprechen, nähert Ihr Euch ihm, schaut ihn an und drückt die 'F'-Taste, wenn das Wort 'Sprechen' unter seinem Namen erscheint. Wenn Ihr diesen oder einen anderen Bereich verlassen oder Euch aus einem Gefecht zurückziehen wollt, könnt Ihr die Tab-Taste drücken.
str_custom_battle_1|Fürst Haringoth von Swadien ist mit seinen Hausrittern unterwegs, als er eine Gruppe Räuber entdeckt, die sich anschicken, eine kleine Einsiedelei zu überfallen. Mit einem Schlachtruf auf den Lippen spornt er sein Pferd vorwärts und führt seine Getreuen in ein erbittertes Gefecht.
str_custom_battle_2|Fürst Mleza führt eine Patrouille von Reitern und Bogenschützen auf der Suche nach einer Gruppe Banditen an, die eine Karawane geplündert haben und in die Hügel entkommen sind. Leider trafen die Banditen vor kurzem auf zwei andere große Gruppen, die einen Teil der Beute wollten, und angesichts der neuen Bedrohung beschließen sie, ihre Kräfte zusammenzulegen.
str_custom_battle_3|Fürstin Brina führt die Verteidigung ihrer Burg gegen eine swadische Armee an. Während sich die Belagerer nun für einen letzten Angriff bereitmachen, muss sie dafür sorgen, dass ihnen der Erfolg verwehrt wird.
str_custom_battle_4|Als die Späher Fürst Grainwad über die Gegenwart einer feindlichen Kriegstruppe unterrichten, beschließt er, rasch zu handeln und die gegnerische Überzahl mit einem Überraschungsangriff zu kontern.
str_custom_battle_5|Fürst Haeda hat seine wilden Huskarls mit Versprechungen auf Plündergut in den Süden gebracht. Wenn er diese Burg heute erobern kann, wird er sich in diesen Landen niederlassen und zum Herrscher dieses Tal werden.
str_finished|(Fertig)
str_delivered_damage|{reg60} Schaden zugefügt.
str_archery_target_hit|Distanz: {reg61} Schritt. Punkte: {reg60}
str_use_baggage_for_inventory|In Eurer Truhe findet Ihr während des Gefechts Euer Inventar (sie befindet sich bei Eurer Startposition).
str_cant_use_inventory_now|Inventar kann jetzt nicht geöffnet werden.
str_cant_use_inventory_arena|Inventar kann in der Arena nicht geöffnet werden.
str_cant_use_inventory_disguised|Inventar kann nicht geöffnet werden, wenn Ihr getarnt seid.
str_cant_use_inventory_tutorial|Inventar kann im Übungslager nicht geöffnet werden.
str_1_denar|1 Dinar
str_reg1_denars|{reg1} Dinare
str_january_reg1_reg2|{reg1}. Januar {reg2}
str_february_reg1_reg2|{reg1}. Februar {reg2}
str_march_reg1_reg2|{reg1}. März {reg2}
str_april_reg1_reg2|{reg1}. April {reg2}
str_may_reg1_reg2|{reg1}. Mai {reg2}
str_june_reg1_reg2|{reg1}. Juni {reg2}
str_july_reg1_reg2|{reg1}.Juni {reg2}
str_august_reg1_reg2|{reg1}. August {reg2}
str_september_reg1_reg2|{reg1}. September {reg2}
str_october_reg1_reg2|{reg1}. Oktober {reg2}
str_november_reg1_reg2|{reg1}. November {reg2}
str_december_reg1_reg2|{reg1}. Dezember {reg2}
str_town_nighttime|Es ist spät am Abend und ehrliche Menschen sind längst nicht mehr auf der Straße.
str_door_locked|Die Tür ist verriegelt.
str_castle_is_abondened|Die Burg scheint unbesetzt.
str_town_is_abondened|Die Stadt hat keine Garnison zu ihrer Verteidigung.
str_place_is_occupied_by_player|Der Ort ist wird von Euren eigenen Truppen gehalten.
str_place_is_occupied_by_enemy|Der Ort ist wird von feindlichen Truppen gehalten.
str_place_is_occupied_by_friendly|Der Ort ist wird von verbündeten Truppen gehalten.
str_do_you_want_to_retreat|Seid Ihr sicher, Euch zurückziehen zu wollen?
str_give_up_fight|Den Kampf aufgeben?
str_do_you_wish_to_leave_tutorial|Wünscht Ihr das Tutorial zu verlassen?
str_do_you_wish_to_surrender|Wünscht Ihr zu kapitulieren?
str_can_not_retreat|Rückzug nicht möglich, es sind Feinde in der Nähe!
str_s1_joined_battle_enemy|{s1} hat sich dem Gefecht auf Feindesseite angeschlossen.
str_s1_joined_battle_friend|{s1} hat sich dem Gefecht auf Eurer Seite angeschlossen.
str_entrance_to_town_forbidden|Die Stadtwachen halten Ausschau nach Eindringlingen, und es scheint nicht, dass Ihr unbehelligt durch die Tore kommen könnt.
str_sneaking_to_town_impossible|Die Stadtwachen sind alarmiert. Ihr könnt nicht unerkannt durch das Tor schlüpfen, wie gut Eure Verkleidung auch sein mag.
str_battle_won|Ihr habt das Gefecht gewonnen!
str_battle_lost|Ihr habt das Gefecht verloren!
str_attack_walls_success|Nach einem blutigen Kampf haben Eure tapferen Soldaten es geschafft, die Mauern dem Feind aus den Händen zu reißen.
str_attack_walls_failure|Eure Soldaten fallen beim Sturm auf die Mauern wie die Fliegen, und die wenigen Überlebenden fliehen auf Nimmerwiedersehen.
str_attack_walls_continue|Ein blutiges Gefecht bricht aus, und beide Seiten kämpfen mit gleichsamer Tapferkeit. Trotz der Anstrengungen Eurer Truppen verbleibt die Burg in feindlicher Hand.
str_order_attack_success|Eure Männer kämpfen tapfer und besiegen den Feind.
str_order_attack_failure|Sinkenden Herzens werdet Ihr Zeuge, wie der Feind Eure Soldaten niedermäht und die wenigen zerlumpten Überlebenden von dannen treibt.
str_order_attack_continue|Trotz eines ausgedehnten Scharmützels konnten Eure Truppen keinen entscheidenden Sieg davontragen.
str_join_order_attack_success|Eure Männer kämpfen gut an der Seite Eurer Verbündeten und teilen sich den Ruhm, Eure Feinde zu zermalmen.
str_join_order_attack_failure|Sinkenden Herzens werdet Ihr Zeuge, wie der Feind Eure Soldaten niedermäht und die wenigen zerlumpten Überlebenden von dannen treibt.
str_join_order_attack_continue|Trotz eines ausgedehnten Scharmützels konnten weder Eure Truppen noch die Eurer Verbündeten einen entscheidenden Sieg davontragen.
str_siege_defender_order_attack_success|Die Männer der Garnison halten ihre Mauern mit Mut und Geschick, schlagen den Ansturm der Feinde zurück und verwandeln die Niederlage in eine schmachvolle Schlappe.
str_siege_defender_order_attack_failure|Der Angriff wird schnell zu einem Blutbad. Alle Tapferkeit ist für die Katz; die unterlegene Garnison kann die Mauern nicht halten, und der Feind schlachtet jeden einzelnen Verteidiger mitleidslos ab.
str_siege_defender_order_attack_continue|Wiederholte, blutige Versuche, die Mauern zu stürmen, versickern im Sande, doch zu viele Feinde verbleiben, als dass die Verteidiger einen echten Sieg ihr eigen nennen dürften. Die Belagerung fährt fort.
str_hero_taken_prisoner|{s1} von {s3} wurde von {s2} gefangen genommen.
str_hero_freed|{s1} von {s3} wurde von {s2} aus der Gefangenschaft befreit.
str_center_captured|{s2} haben {s1} von {s3} genommen.
str_troop_relation_increased|Eure Beziehung mit {s1} ist von {reg1} auf {reg2} angestiegen.
str_troop_relation_detoriated|Eure Beziehung mit {s1} hat sich von {reg1} zu {reg2} verschlechtert.
str_faction_relation_increased|Eure Beziehung mit {s1} ist von {reg1} auf {reg2} angestiegen.
str_faction_relation_detoriated|Eure Beziehung mit {s1} hat sich von {reg1} zu {reg2} verschlechtert.
str_party_gained_morale|Euer Trupp gewinnt an {reg1} Moral.
str_party_lost_morale|Euer Trupp verliert {reg1} Moral.
str_qst_follow_spy_noticed_you|Der Spion hat Euch erspäht! Er rennt um sein Leben!
str_father|Vater
str_husband|Gatte
str_wife|Gattin
str_daughter|Tochter
str_mother|Mutter
str_son|Sohn
str_brother|Bruder
str_sister|Schwester
str_he|Er
str_she|Sie
str_s3s_s2|{s3}s {s2}
str_s5_is_s51|{s5} ist {s51}.
str_s5_is_the_ruler_of_s51|{s5} ist Herrscher von {s51}.
str_s5_is_a_nobleman_of_s6|{s5} ist ein Adliger von {s6}.
str_relation_mnus_100|Verzehrt von Rachsucht
str_relation_mnus_90|Verzehrt von Rachsucht
str_relation_mnus_80|Verzehrt von Rachsucht
str_relation_mnus_70|Hasserfüllt
str_relation_mnus_60|Hasserfüllt
str_relation_mnus_50|Feindlich
str_relation_mnus_40|Ärgerlich
str_relation_mnus_30|Missgünstig
str_relation_mnus_20|Mürrisch
str_relation_mnus_10|Misstrauisch
str_relation_plus_0|Gleichgültig
str_relation_plus_10|Kooperativ
str_relation_plus_20|Einladend
str_relation_plus_30|Wohlwollend
str_relation_plus_40|Befürwortend
str_relation_plus_50|Freundlich
str_relation_plus_60|Gnädig
str_relation_plus_70|Zugetan
str_relation_plus_80|Loyal
str_relation_plus_90|Ergeben
str_relation_mnus_100_ns|{s60} ist verzehrt von Rachsucht auf Euch.
str_relation_mnus_90_ns|{s60} ist verzehrt von Rachsucht auf Euch.
str_relation_mnus_80_ns|{s60} ist verzehrt von Rachsucht auf Euch.
str_relation_mnus_70_ns|{s60} ist voller Hass auf Euch.
str_relation_mnus_60_ns|{s60} ist voller Hass auf Euch.
str_relation_mnus_50_ns|{s60} ist Euch feindlich gesinnt.
str_relation_mnus_40_ns|{s60} ist ärgerlich auf Euch.
str_relation_mnus_30_ns|{s60} ist Euch missgünstig gestimmt.
str_relation_mnus_20_ns|{s60} ist Euch gegenüber mürrisch.
str_relation_mnus_10_ns|{s60} ist Euch gegenüber misstrauisch.
str_relation_plus_0_ns|{s60} ist Euch gegenüber gleichgültig.
str_relation_plus_10_ns|{s60} ist {s60} ist Euch gegenüber kooperativ.
str_relation_plus_20_ns|{s60} ist {s60} ist Euch gegenüber einladend.
str_relation_plus_30_ns|{s60} ist {s60} ist Euch wohlwollend gesinnt.
str_relation_plus_40_ns|{s60} ist {s60} ist Euch befürwortend gesinnt.
str_relation_plus_50_ns|{s60} ist Euch freundlich gesinnt.
str_relation_plus_60_ns|{s60} ist {s60} ist Euch gnädig gesinnt.
str_relation_plus_70_ns|{s60} ist Euch zugetan.
str_relation_plus_80_ns|{s60} ist Euch gegenüber loyal.
str_relation_plus_90_ns|{s60} ist Euch ergeben gesinnt.
str_relation_reg1|Beziehung: {reg1}
str_center_relation_mnus_100|Die Bevölkerung hasst Euch mit Leidenschaft
str_center_relation_mnus_90|Die Bevölkerung hasst Euch intensiv
str_center_relation_mnus_80|Die Bevölkerung hasst Euch sehr
str_center_relation_mnus_70|Die Bevölkerung hasst Euch
str_center_relation_mnus_60|Die Bevölkerung ist voller Hass gegen Euch
str_center_relation_mnus_50|Die Bevölkerung ist Euch extrem feindlich gesinnt
str_center_relation_mnus_40|Die Bevölkerung ist Euch sehr feindlich gesinnt
str_center_relation_mnus_30|Die Bevölkerung ist Euch feindlich gesinnt
str_center_relation_mnus_20|Die Bevölkerung ist gegen Euch
str_center_relation_mnus_10|Die Bevölkerung ist gegen Euch eingestellt
str_center_relation_plus_0|Die Bevölkerung ist Euch gegenüber gleichgültig
str_center_relation_plus_10|Die Bevölkerung akzeptiert Euch
str_center_relation_plus_20|Die Bevölkerung ist Euch kooperativ gesinnt
str_center_relation_plus_30|Die Bevölkerung befürwortet Euch etwas
str_center_relation_plus_40|Die Bevölkerung befürwortet Euch
str_center_relation_plus_50|Die Bevölkerung befürwortet Euch sehr
str_center_relation_plus_60|Die Bevölkerung ist Euch loyal gesinnt
str_center_relation_plus_70|Die Bevölkerung ist sehr loyal gesinnt
str_center_relation_plus_80|Die Bevölkerung ist Euch ergeben
str_center_relation_plus_90|Die Bevölkerung ist Euch extrem ergeben
str_town_prosperity_0|Die Armut der Stadt {s60} ist unerträglich
str_town_prosperity_10|Die verkommene Stadt {s60} ist völlig verlassen.
str_town_prosperity_20|Die Stadt {s60} ist ein verkommener, desolater Ort.
str_town_prosperity_30|Die Stadt {s60} sieht arm und vernachlässigt aus.
str_town_prosperity_40|Die Stadt {s60} scheint in Geldschwierigkeiten zu stecken.
str_town_prosperity_50|Die Stadt {s60} scheint unbeachtlich.
str_town_prosperity_60|Die Stadt {s60} scheint zu blühen.
str_town_prosperity_70|Die reiche Stadt {s60} wimmelt vor Leben.
str_town_prosperity_80|Die Stadt {s60} scheint reich und wohlgepflegt.
str_town_prosperity_90|Die Stadt {s60} ist opulent und voller wohlhabender Menschen.
str_town_prosperity_100|Die glitzernde Stadt {s60} zeigt ihren großen Reichtum offen dar.
str_village_prosperity_0|Die Armut des Dorfes {s60} ist unerträglich.
str_village_prosperity_10|Das Dorf {s60} sieht elend und vernachlässigt aus.
str_village_prosperity_20|Das Dorf {s60} ist ein armer, desolater Ort.
str_village_prosperity_30|Das Dorf {s60} sieht arm und vernachlässigt aus.
str_village_prosperity_40|Das Dorf {s60} scheint in Geldschwierigkeiten zu stecken.
str_village_prosperity_50|Das Dorf {s60} scheint unbeachtlich.
str_village_prosperity_60|Das Dorf {s60} scheint zu blühen
str_village_prosperity_70|Das Dorf {s60} scheint zu gedeihen
str_village_prosperity_80|Das Dorf {s60} scheint reich und wohlgepflegt.
str_village_prosperity_90|Das Dorf {s60} scheint sehr reich und wohlgepflegt.
str_village_prosperity_100|Das Dorf {s60}, umgeben von riesigen, fruchtbaren Feldern, sieht sagenhaft reich aus.
str_war_report_minus_4|wir sind kurz davor, den Krieg zu verlieren
str_war_report_minus_3|die Situation sieht schlecht aus
str_war_report_minus_2|die Sache läuft nicht allzu gut für uns
str_war_report_minus_1|wir können den Krieg noch gewinnen, wenn wir uns zusammenscharen
str_war_report_0|wir sind genau so stark wie der Feind
str_war_report_plus_1|wir haben eine faire Chance, den Krieg zu gewinnen
str_war_report_plus_2|die Sache sieht recht gut aus
str_war_report_plus_3|wir sollten keine Probleme haben, sie zu besiegen
str_war_report_plus_4|wir sind kurz davor, den Krieg zu gewinnen
