998
qstr_Next_Page Next_Page
qstr_+{reg1}_to_party_mor +{reg1}_to_party_morale
qstr_Requires_{reg1}_inte Requires_{reg1}_intelligence_to_read
qstr_Reading_Progress:_{r Reading_Progress:_{reg1}%
qstr_Wound_Treament Wound_Treament
qstr_Trainer Trainer
qstr_Surgery Surgery
qstr_Prisoner_Management Prisoner_Management
qstr_Spotting Spotting
qstr_Trail_Blazing Trail_Blazing
qstr_+1_to_{s1}_while_in_ +1_to_{s1}_while_in_inventory
qstr_You_should_not_see_t You_should_not_see_this_item.
qstr_Requires_10_STR_to_u Requires_10_STR_to_use
qstr_Requires_{reg1}_stoc Requires_{reg1}_stockpiling_to_use
qstr_Small_delay_between_ Small_delay_between_skill_increase_and_ability_to_use.
qstr_Rounds:_{reg1} Rounds:_{reg1}
qstr_Very_low_penalty_fro Very_low_penalty_from_horseback
qstr_Low_penalty_from_hor Low_penalty_from_horseback
qstr_Medium_penalty_from_ Medium_penalty_from_horseback
qstr_High_penalty_from_ho High_penalty_from_horseback
qstr_Warpaint_can_be_cust Warpaint_can_be_customised
qstr_in_the_camp_menu in_the_camp_menu
qstr_Move_here Move_here
qstr_View_notes View_notes
qstr__{s61} _{s61}
qstr_ERROR:_More_than_15_ ERROR:_More_than_15_trade_routes_are_given_for_{s1}.
qstr_{reg4}_killed_{reg5} {reg4}_killed,_{reg5}_wounded
qstr_killed killed
qstr_wounded wounded
qstr_{reg3?{reg3}:}_{s1}_ {reg3?{reg3}:}_{s1}_({s2})
qstr_{s0}_{reg3?{reg3}:}_ {s0},_{reg3?{reg3}:}_{s1}_({s2})
qstr_{s0}^{reg3?{reg3}:}_ {s0}^{reg3?{reg3}:}_{s1}_({s2})
qstr_{s0}^TOTAL:_{reg3}__ {s0}^TOTAL:_{reg3}_({s2})
qstr_None None
qstr_^None ^None
qstr_nothing nothing
qstr_{reg0}_village{reg1? {reg0}_village{reg1?s:}
qstr_{reg0}_castle{reg1?s {reg0}_castle{reg1?s:}
qstr_{reg0}_castle{reg1?s: {reg0}_castle{reg1?s:}_and_{s0}
qstr_{reg0}_town{reg1?s:} {reg0}_town{reg1?s:}
qstr_{reg0}_town{reg1?s:}_ {reg0}_town{reg1?s:}_and_{s0}
qstr_{reg0}_town{reg1?s:}_{ {reg0}_town{reg1?s:},_{s0}
qstr_Your_opponents_are_r Your_opponents_are_ready_for_the_fight.
qstr_Try_to_destroy_as_ma Try_to_destroy_as_many_targets_as_you_can._You_have_two_and_a_half_minutes_to_clear_the_track.
qstr_Stay_behind_the_line Stay_behind_the_line_on_the_ground_and_shoot_the_targets._Try_not_to_waste_any_shots.
qstr_Battle_Advantage_=_{ Battle_Advantage_=_{reg0}.
qstr_{s9}_wants_you_to_re {s9}_wants_you_to_resume_following_his_army_until_further_notice.
qstr_The_Duvalle_Gang The_Duvalle_Gang
qstr__Being_Raided_ (Being_Raided)
qstr__Looted_ (Looted)
qstr__Under_Siege_ (Under_Siege)
qstr_The_village_of_{s1}_ The_village_of_{s1}_has_been_looted_by_{s2}.
qstr_{s3}_is_no_longer_un {s3}_is_no_longer_under_siege.
qstr_Enemies_spotted_near Enemies_spotted_near_{s1}.
qstr_{s1}_has_been_besieg {s1}_has_been_besieged_by_{s2}_of_{s3}.
qstr_{s1}_is_chosen_as_th {s1}_is_chosen_as_the_marshall_of_{s2}.
qstr_{s1}_is_the_new_mars {s1}_is_the_new_marshall_of_{s2}.
qstr_{s1}_decided_to_do_n {s1}_decided_to_do_nothing.
qstr_{s1}_decided_to_gath {s1}_decided_to_gather_army.
qstr_{s1}_decided_to_besi {s1}_decided_to_besiege_{s2}.
qstr_{s1}_decided_to_raid {s1}_decided_to_raid_{s2}.
qstr_{s1}_decided_to_atta {s1}_decided_to_attack_{s2}.
qstr_{s1}_decided_to_attac {s1}_decided_to_attack_enemies_around_{s2}.
qstr_You_gained_{reg12}_r You_gained_{reg12}_renown.
qstr_You_lose_{reg12}_ren You_lose_{reg12}_renown.
qstr_Your_relation_with_{ Your_relation_with_{s1}_has_improved.
qstr_Your_relation_with_{s Your_relation_with_{s1}_has_deteriorated.
qstr_You_gain_honour. You_gain_honour.
qstr_You_lose_honour. You_lose_honour.
qstr_{s1}_declared_war_ag {s1}_declared_war_against_{s2}.
qstr_{s1}_and_{s2}_have_m {s1}_and_{s2}_have_made_peace_with_each_other.
qstr_{s2}_{reg3?was:is_cu {s2}_{reg3?was:is_currently}_at_{s3}.
qstr_{s2}_{reg3?was:is}_t {s2}_{reg3?was:is}_travelling_to_{s3}_and_{reg18?she:he}_{reg3?was:should_be}_close_to_{s4}{reg3?:_at_the_moment}.
qstr_{s2}_{reg3?was:is}_i {s2}_{reg3?was:is}_in_wilderness_and_{reg18?she:he}_{reg3?was:should_be}_close_to_{s3}{reg3?:_at_the_moment}.
qstr_{s2}_{reg3?was:is}_b {s2}_{reg3?was:is}_being_held_captive_at_{s3}.
qstr_{s2}_{reg3?was:has_b {s2}_{reg3?was:has_been}_taken_captive_by_{reg18?her:his}_enemies.
qstr_{reg3?{s2}_s_locatio {reg3?{s2}'s_location_was_unknown:I_don't_know_where_{s2}_is}.
qstr_{s6}_has_joined_your {s6}_has_joined_your_party
qstr_default default
qstr_small small
qstr_steppe steppe
qstr_plain plain
qstr_snow___using_desert snow_-_using_desert
qstr_desert desert
qstr_steppe_forest steppe_forest
qstr_plain_forest__forest plain_forest_(forest)
qstr_snow_forest___using_ snow_forest_-_using_steppe_forest
qstr_regular regular
qstr_snow___using_desert_ snow_-_using_desert_forest
qstr_snow_forest___using_d snow_forest_-_using_desert_forest
qstr_DEBUG:_Terrain_Type: DEBUG:_Terrain_Type:_{reg0}_-_{s0}_-_{s1}
qstr_You_now_owe_{reg2}_c You_now_owe_{reg2}_cents_to_{s1}.
qstr_Renown_value_for_thi Renown_value_for_this_battle_is_{reg8}.
qstr_You_have_run_into_a_ You_have_run_into_a_trap!
qstr_Some_angry_farmer_gr Some_angry_farmer_grab_their_weapons_and_attack_you!
qstr_Some_civilists_of_th Some_civilists_of_this_town_attack_you!
qstr_You_are_ambushed_by_ You_are_ambushed_by_Pinkerton_agents!
qstr_You_are_attacked_by_ You_are_attacked_by_a_group_of_bandits!
qstr_Holding Holding
qstr_Following Following
qstr_Charging Charging
qstr_Advancing Advancing
qstr_Falling_Back Falling_Back
qstr_Standing_closer Standing_closer
qstr_Spreading_Out Spreading_Out
qstr_Standing Standing
qstr_N/A N/A
qstr_Free Free
qstr_mount mount
qstr_dismount dismount
qstr_Any_Weapon Any_Weapon
qstr_Blunt_Weapons Blunt_Weapons
qstr_Infantry__{reg1}_ Infantry_({reg1})
qstr_Archers__{reg2}_ Archers_({reg2})
qstr_Cavalry__{reg3}_ Cavalry_({reg3})
qstr_{reg4} {reg4}
qstr_{reg5} {reg5}
qstr_{reg6} {reg6}
qstr_{reg7} {reg7}
qstr_{reg8} {reg8}
qstr_{reg9} {reg9}
qstr_{reg10} {reg10}
qstr_{reg11} {reg11}
qstr_{reg12} {reg12}
qstr_{s1}_Rebels {s1}_Rebels
qstr_Given_by:_{s62} Given_by:_{s62}
qstr_Given_on:_{s60} Given_on:_{s60}
qstr_You_have_{reg0}_days You_have_{reg0}_days_to_finish_this_quest.
qstr_This_quest_has_been_ This_quest_has_been_concluded._Talk_to_{s59}_to_finish_it.
qstr_This_quest_has_been_s This_quest_has_been_successfully_completed._Talk_to_{s59}_to_claim_your_reward.
qstr_This_quest_has_faile This_quest_has_failed._Talk_to_{s59}_to_explain_the_situation.
qstr_At_the_time_quest_wa At_the_time_quest_was_given:^{s1}
qstr_{s4}_is_in_{s5} {s4}_is_in_{s5}
qstr_{s1}_is_infested_by_ {s1}_is_infested_by_bandits.
qstr_nowhere nowhere
qstr_{s7}_and_{s8} {s7}_and_{s8}
qstr_{s7}_{s8} {s7},_{s8}
qstr_noone noone
qstr_{s9}_and_{s10} {s9}_and_{s10}
qstr_{s9}_{s10} {s9},_{s10}
qstr_{s11}_and_{s12} {s11}_and_{s12}
qstr_{s11}_{s12} {s11},_{s12}
qstr_{s13}_and_{s14} {s13}_and_{s14}
qstr_{s13}_{s14} {s13},_{s14}
qstr_{s3}^^{s5}_is_contro {s3}^^{s5}_is_controlled_by_{s6}.^^It_occupies_{s8}.^^Its_leading_members_are_{s10}.^^{s5}_is_at_war_with_{s12}.^^{s5}_is_permanently_aligned_against_{s14}.
qstr_{s3}^^{s5}_has_been_ {s3}^^{s5}_has_been_defeated!
qstr_{s3}^^{s5}_is_perman {s3}^^{s5}_is_permanently_aligned_against_{s14}.
qstr_{s5}_has_a_strength_ {s5}_has_a_strength_of_{reg1}_men_in_total.
qstr_{s54}_is_a_claimant_ {s54}_is_a_claimant_to_the_throne_of_{s56}.
qstr_{s57}_and_{s58} {s57}_and_{s58}
qstr_{s57}_{s58} {s57},_{s58}
qstr_{reg18?She:He} {reg18?She:He}
qstr_^{s59} ^{s59}
qstr_{reg6?:{reg4?{s54}_i {reg6?:{reg4?{s54}_is_the_ruler_of_{s56}.^:{s54}_is_a_vassal_of_{s55}_of_{s56}.^}}Renown:_{reg5}.^{reg9?{reg18?She:He}_is_the_{reg18?lady:master}_of_{s58}.:{reg18?She:He}_has_no_fiefs.}{s59}
qstr_The_last_time_you_sa The_last_time_you_saw_{reg18?her:him},_{s1}
qstr_The_last_time_you_he The_last_time_you_heard_about_{reg18?her:him},_{s1}
qstr_{s50} {s50}
qstr_The_village_of_{s50} The_village_of_{s50}_near_{s52}
qstr_{s51}_belongs_to_{s1 {s51}_belongs_to_{s1}_of_{s2}.^
qstr_{s2}It_has_no_villag {s2}It_has_no_villages.^
qstr_{s2}{reg0?Its_villag {s2}{reg0?Its_villages_are:Its_village_is}_{s8}.^
qstr_{s2}Its_prosperity_i {s2}Its_prosperity_is:_{s50}
qstr_Current_garrison_con Current_garrison_consists_of_{reg5}_men.^Has_food_stock_for_{reg6}_days.
qstr_Dirt_Poor Dirt_Poor
qstr_Poor Poor
qstr_Average Average
qstr_Rich Rich
qstr_Filthy_Rich Filthy_Rich
qstr_Manor Manor
qstr_A_manor_lets_you_res A_manor_lets_you_rest_at_the_village_and_pay_your_troops_half_wages_while_you_rest.
qstr_Hotel Hotel
qstr_An_oasis_of_comfort_ An_oasis_of_comfort_in_a_harsh_wilderness.__Don't_expect_to_get_rich_in_a_small_town_like_this_but_it's_a_good_beginning_to_your_business_empire.
qstr_Livery_Stable Livery_Stable
qstr_Tends_to_the_needs_o Tends_to_the_needs_of_our_four_legged_friends._Increases_income.
qstr_Way_Station Way_Station
qstr_Contract_with_the_lo Contract_with_the_local_stage_line_to_provide_meals,_lodgings_and_fresh_horses.__Increases_earnings_for_your_hotel_and_stable.
qstr_Saloon Saloon
qstr_Nothing_like_a_shot_ Nothing_like_a_shot_of_good_whiskey_to_wash_down_the_trail_dust.
qstr_Gambling_Tables Gambling_Tables
qstr_You_pride_yourself_o You_pride_yourself_on_running_honest_games.__Sure_you_may_run_a_loss_from_time_to_time_but_if_it_was_a_sure_thing_it_wouldn't_be_gambling.
qstr_Bordello Bordello
qstr_Only_the_finest_qual Only_the_finest_quality_entertainment_for_the_discerning_gentlemen.__Besides_your_take_of_the_ladies_earnings_their_presence_draws_in_more_patrons_for_your_other_enterprises.
qstr_Placer_Mining Placer_Mining
qstr_Placer_or__tin_pan__ Placer_or_'tin_pan'_mining_the_most_basic_form_of_mining_precious_metals.__Increases_town_prosperity.
qstr_Sluice_Mining Sluice_Mining
qstr_Replacing_the_tin_pa Replacing_the_tin_pan_with_a_sluice_allows_for_greater_productivity_of_the_most_promising_claims._Further_increases_town_prosperity.
qstr_Industrial_Mining Industrial_Mining
qstr_Open_pit_or_shaft_mi Open_pit_or_shaft_mining_in_search_of_the_mother_lode._Increases_village_prosperity.
qstr_Watch_Tower Watch_Tower
qstr_A_watch_tower_lets_t A_watch_tower_lets_the_villagers_raise_alarm_earlier._The_time_it_takes_for_enemies_to_loot_the_village_increases_by_25%.
qstr_School School
qstr_A_shool_increases_th A_shool_increases_the_loyality_of_the_villagers_to_you_by_+1_every_month.
qstr_Messenger_Post Messenger_Post
qstr_A_messenger_post_let A_messenger_post_lets_the_inhabitants_send_you_a_message_whenever_enemies_are_nearby,_even_if_you_are_far_away_from_here.
qstr_Jailhouse Jailhouse
qstr_A_jailhouse_reduces_ A_jailhouse_reduces_the_chance_of_captives_held_here_running_away_successfully.
qstr_Prosperity_of_{s2}_h Prosperity_of_{s2}_has_changed_from_{s3}_to_{s4}.
qstr_{s4}_looks_upset. {s4}_looks_upset.
qstr_your_party your_party
qstr_{reg0?One_of_your_pr {reg0?One_of_your_prisoners,_:}{s1}_of_{s3}_has_escaped_from_captivity!
qstr_You_brought_{reg3}_h You_brought_{reg3}_heads_of_cattle_herd_to_{s1}.
qstr_I_heard_that_cholera I_heard_that_cholera_is_on_the_rise_'round_these_parts._Be_careful_where_you_water_your_horses.
qstr_I_heard_that_one_can I_heard_that_one_can_buy_{s62}_very_cheap_at_{s63}.
qstr_I_heard_that_they_pa I_heard_that_they_pay_a_very_high_price_for_{s62}_at_{s63}.
qstr_Log_entry_{reg3}:_ty Log_entry_{reg3}:_type_{reg4}
qstr_Center:_{s4} Center:_{s4}
qstr_Troop:_{s4} Troop:_{s4}
qstr_Lord:_{s4} Lord:_{s4}
qstr_Ally_party_is_presen Ally_party_is_present
qstr_{s4}_is_present_at_e {s4}_is_present_at_event
qstr_Event_#{reg5}_type_{ Event_#{reg5},_type_{reg6},_time_{reg8}:_player's_kingdom_relation_to_troop_object_=_{reg7}
qstr_Event_#{reg5}_type_{r Event_#{reg5},_type_{reg6},_time_{reg8}:_player's_kingdom_relation_to_center_object_faction_=_{reg7}
qstr_Event_#{reg5}_type_{re Event_#{reg5},_type_{reg6},_time_{reg8}:_player's_kingdom_relation_to_faction_object_=_{reg7}
qstr_Event_#{reg5}_type_{reg Event_#{reg5},_type_{reg6},_time_{reg8}._No_relevant_kingdom_relation
qstr_Event_#{reg5}_type_{reg6 Event_#{reg5},_type_{reg6},_time_{reg8}._Player_unaffiliated
qstr_Elapsed_hours:_{reg7 Elapsed_hours:_{reg7}
qstr_Reputation_type:_{s1 Reputation_type:_{s15}
qstr_Entries_up_to_#{reg5 Entries_up_to_#{reg5}_skipped
qstr_Delivered_{reg1}_dam Delivered_{reg1}_damage.
qstr_Received_{reg1}_dama Received_{reg1}_damage.
qstr_The_{s1}_Banda The_{s1}_Banda
qstr_The_{s1}_Lawmen The_{s1}_Lawmen
qstr_The_{s1}_Gang The_{s1}_Gang
qstr__+{reg3} (+{reg3}
qstr__{reg3} ({reg3}
qstr_{s3}_*_honor_=_ {s3}_*_honor_=_
qstr__{s4} ({s4}
qstr_{s3}no_change_ {s3}no_change)
qstr_{s3}+{reg3}_ {s3}+{reg3})
qstr_{s3}{reg3}_ {s3}{reg3})
qstr__ _
qstr_Persuasion_Attempt_S Persuasion_Attempt_Successful.
qstr_Persuasion_Attempt_F Persuasion_Attempt_Failed.
qstr_Loyal Loyal
qstr_Devoted Devoted
qstr_Fond Fond
qstr_Gracious Gracious
qstr_Friendly Friendly
qstr_Supportive Supportive
qstr_Favorable Favorable
qstr_Cooperative Cooperative
qstr_Accepting Accepting
qstr_Indifferent Indifferent
qstr_Suspicious Suspicious
qstr_Grumbling Grumbling
qstr_Hostile Hostile
qstr_Resentful Resentful
qstr_Angry Angry
qstr_Hateful Hateful
qstr_Revengeful Revengeful
qstr_Vengeful Vengeful
qstr_{s2}_are_the_unorgan {s2}_are_the_unorganized,_collective_regular_people_of_the_west._They_value_justice,_honesty,_and_hard_work._They_seek_their_fortunes_within_the_limits_of_the_law.
qstr_{s2}_are_the_unorgani {s2}_are_the_unorganized,_collective_scum_of_the_west._Outlawed_in_civilized_places,_they_steal_and_kill_to_survive.
qstr_{s2}_are_unorganized {s2}_are_unorganized,_lost_soldiers_who_have_left_their_military_posts_and_cannot_return_home._They_now_do_what_they_must_to_survive.
qstr_{s2}_are_an_industri {s2}_are_an_industrious_nation_looking_to_expand_westward_after_emerging_victorious_from_a_bloody_civil_war._The_nation_now_turns_it's_military_attention_westward_to_problems_on_the_frontier.
qstr_{s2}_are_the_republi {s2}_are_the_republican_resistance_of_a_nation_stuggling_to_remain_independent._While_fighting_the_war_against_the_tyrant_Emperor_Maxillian_I_in_the_south,_they_also_fight_to_maintain_their_borders_here_in_the_north.
qstr_{s2}_are_a_proud_rug {s2}_are_a_proud,_rugged_people_with_a_rich_heritage_of_strength_and_honor._They_are_prepared_to_fight_all_intruders_to_preserve_their_land_and_way_of_life.
qstr_{s2}_are_a_plains_pe {s2}_are_a_plains_people_whose_way_of_life_revolves_around_the_horse._They_fight_to_maintain_their_hunting_lands_and_protect_their_culture.
qstr_{s2}_are_the_remnant {s2}_are_the_remnants_of_the_defeated_Confederate_army_who_refuse_to_give_up_the_fight_against_the_United_States.
qstr_{s2}_are_the_scatter {s2}_are_the_scattered_forces_of_the_Mexican_Imperial_army_that_has_detached_from_the_main_force_in_the_south._They_aim_to_harass_the_Mexican_Republicans_and_seize_targets_of_opportunity.
qstr_{s2}_are_savage_Mexi {s2}_are_savage_Mexicans_who_murder_unsuspecting_bypassers_near_border_towns._From_the_dead,_they_take_the_scalps_and_sell_them_for_a_handsome_profit_to_groups_looking_for_revenge.
qstr_{s2}_are_nomadic_war {s2}_are_nomadic_warriors_from_a_gathering_of_tribes_who_fight_to_stop_the_settlement_of_the_frontier._These_warriors_have_earned_a_reputation_for_their_ferocity_and_rarely_show_mercy.
qstr_{s2}_are_an_organize {s2}_are_an_organized_gang_of_Mexican_criminals_whose_goal_is_to_capture_villages_and_take_up_permanent_residence._The_more_villages_they_hold,_the_more_booze,_bullets,_and_senioritas_they_can_take.
qstr_{s2}_are_an_organized {s2}_are_an_organized_gang_of_corrupt_lawmen_whose_goal_is_to_uproot_the_criminal_element_in_villages_and_replace_their_corruption_with_their_own._They_may_have_badges,_but_these_men_care_not_for_justice.
qstr_{s2}_are_an_organized_ {s2}_are_an_organized_gang_of_American_criminals_whose_goal_is_to_control_entire_villages_and_terrify_the_populace._In_taking_more_settlements,_they_hope_to_satisfy_their_lust_for_power,_sex,_and_gold.
qstr_We_like_you_enough_t We_like_you_enough_to_make_these_troops_available_for_recruitment:^^
qstr_{s4}_{s5}:_ {s4}_{s5}:_
qstr_{s4}__{reg0}_at {s4}_({reg0}_at
qstr_{s4}_{s1}_each_^ {s4}_{s1}_each)^
qstr_Actually_I_don_t_hav Actually,_I_don't_have_any_troops_that_I_trust_you_with_at_the_moment._Help_us_out_more,_and_maybe_we'll_let_you_use_them.
qstr_{s4}^Interested? {s4}^Interested?
qstr_DEBUG:_Removed_old_p DEBUG:_Removed_old_party:_{reg1}.
qstr_DEBUG:_Populate_Ambu DEBUG:_Populate_Ambush_Party_Template:_PARTY_TEMPLATE_NOT_FOUND.
qstr_You_infringed_the_du You_infringed_the_duel_rules!
qstr_End_spawn_alerted_ag End_spawn_alerted_agents_from_faction_slot
qstr_end_get_random_prop_ end_get_random_prop_instance
qstr_Error:_Unknown_race_ Error:_Unknown_race_encountered.
qstr_DEBUG:_Generic_Battl DEBUG:_Generic_Battle_-_Terrain_Type:_{reg0}_-_{s0}
qstr_everyone everyone
qstr_infantry infantry
qstr_Archers Archers
qstr_cavalry cavalry
qstr_{s1}_move_over_there {s1},_move_over_there!
qstr_ERROR:_player_voice_ ERROR:_player_voice_out_of_range:_{reg1}
qstr_{s1}_fell_unconsciou {s1}_fell_unconscious_from_blood_loss.
qstr_{s1}_died_of_blood_l {s1}_died_of_blood_loss.
qstr_{reg1?_{reg1}_count_ {reg1?_{reg1}_count(s)_of_first-degree_murder_on_an_officer_of_the_peace^:}
qstr_{reg2?_{reg2}_count_ {reg2?_{reg2}_count(s)_of_first-degree_murder^:}
qstr_{reg3?_{reg3}_count_ {reg3?_{reg3}_count(s)_of_assault_on_an_officer_of_the_peace^:}
qstr_{reg4?_{reg4}_count_ {reg4?_{reg4}_count(s)_of_simple_assault^:}
qstr_{reg5?_{reg5}_count_ {reg5?_{reg5}_count(s)_of_robbery^:}
qstr_{reg6?_{reg6}_count_ {reg6?_{reg6}_count(s)_of_attempted_robbery^:}
qstr_{reg7?_{reg7}_count_ {reg7?_{reg7}_count(s)_of_disturbing_the_peace^:}
qstr_^^{s1}{s2}{s3}{s4}{s ^^{s1}{s2}{s3}{s4}{s5}{s6}{s7}^
qstr_inside_first_try_blo inside_first_try_block
qstr_inside_second_try_bl inside_second_try_block
qstr_inside_third_try_blo inside_third_try_block
qstr_You_failed_to_comple You_failed_to_complete_this_quest.
qstr_Town_is_hostile_reac Town_is_hostile,_reach_the_outskirts_to_escape.
qstr_Cannot_leave_now. Cannot_leave_now.
qstr_You_failed. You_failed.
qstr_Return_to_the_undert Return_to_the_undertaker.
qstr_You_picked_up_8_doll You_picked_up_8_dollars_from_the_old_man's_body.
qstr_You_are_participatin You_are_participating_in_a_duel._Leave_your_gun_in_the_holster,_dismount_and_step_8_meters_away_from_your_enemy.
qstr_Duel! Duel!
qstr_Leave_your_gun_in_th Leave_your_gun_in_the_holster._Wait_until_the_the_bell_rings_and_pull_your_gun.
qstr_duel duel
qstr_You_have_fallen_in_b You_have_fallen_in_battle,_but_your_soldiers_carry_on_the_fight!
qstr_Press_TAB_at_any_tim Press_TAB_at_any_time_to_force_your_remaining_troops_to_retreat.
qstr_Tutorial Tutorial
qstr_You_must_stay_behind You_must_stay_behind_the_line_on_the_ground!_Point_is_not_counted.
qstr_You_killed_{reg9}_an You_killed_{reg9}_animals.
qstr_{reg8}_animals_have_ {reg8}_animals_have_escaped!
qstr_{s4}:_M{reg3}_2M{reg {s4}:_M{reg3},_2M{reg4},_PC{reg5},_2PC{reg6},_PM{reg7}
qstr_The_west_had_a_terri The_west_had_a_terrible_power_over_most_men,_turning_honest_fortune_seekers_into_desperate_outlaws,_and_regular_folks_into_larger_than_life_heroes.
qstr_The_west_was_too_wil The_west_was_too_wild_for_most_women,_but_the_ones_who_lived_there_were_stubborn_as_a_mule_and_tough_as_nails.
qstr_Years_before_you_wer Years_before_you_were_born,_your_family_moved_west_seeking_fortune._Their_journey_westward_in_one_of_a_thousand_wagon_trains_was_long_and_strenuous.^^Your_father_was...
